siteId,date,ph,nitrates,do,spc,doPerc,chlorides,temp,tds,chlorophyll,tss,phosphorus,ecoli,
lagrange-2,6/5/2024,8,2.28,6.38,565,74.7,30.17,21.48,0.388,NaN,1.7,0.18,166.5,
lagrange-7,6/5/2024,7.73,2.76,5.83,592.6,68.8,75.61,21.88,0.403,NaN,76.6,0.35,33.3,
lagrange-13,6/5/2024,7.82,2.72,7.29,593.7,79,41.62,17.61,0.442,NaN,3.11,0.29,166.5,
lagrange-1,6/5/2024,8.07,0.63,7.03,456.9,86.3,20.89,23.95,0.298,NaN,2.2,0.12,33.33,
lagrange-5,6/5/2024,7.94,0.35,6.85,493.2,83.6,27.76,23.7,0.324,NaN,4,0.31,0,
lagrange-11,6/5/2024,7.97,3.28,9.28,607.8,102.2,31.69,18.41,0.445,NaN,2.98,0.26,99.9,
lagrange-11,6/12/2024,7.59,3.96,8.96,569.2,94.1,66.32,16.12,0.438,NaN,1.3,0.14,167,
lagrange-12,6/12/2024,7.82,6.02,8.85,591.3,91.1,75.85,15.14,0.465,NaN,1.6,0.12,400,
lagrange-8,6/12/2024,7.77,2.83,8.37,568.6,94,35.75,19.38,0.407,NaN,4.4,0.26,233,
lagrange-15,6/12/2024,7.29,1.21,6.62,506.9,74.6,63.16,19.53,0.362,NaN,9.4,0.06,633,
lagrange-3,6/12/2024,7.9,2.44,7.53,522.1,82.7,35.62,18.3,0.383,NaN,3.3,0.16,433,
lagrange-6,6/12/2024,8.03,1.12,8.71,449.5,100.4,18.87,20.69,0.314,NaN,2.7,0.15,166,
lagrange-10,6/12/2024,8.77,0.5,9.43,386.4,112,23.08,22.25,0.261,NaN,11.9,0.1,233,
lagrange-5,6/13/2024,7.4,0.97,5.73,474.1,66.8,24.66,21.31,0.326,NaN,10.7,0.36,66.66,
lagrange-1,6/13/2024,8.07,0.59,6.33,444.6,75.8,19.21,22.7,0.298,NaN,5.1,0.28,33.33,
lagrange-9,6/13/2024,7.96,4.12,9.08,633.1,100.6,57.52,18.69,0.46,NaN,16.5,0.26,266.66,
lagrange-13,6/13/2024,7.75,1.92,7.52,594.9,80,55.94,16.71,0.451,NaN,5.8,NA,166.66,
lagrange-7,6/13/2024,7.55,3.78,5.96,603,69.3,110.97,21.17,0.416,NaN,14,0.34,133.33,
lagrange-2,6/13/2024,7.59,2.46,8.07,576.9,94.4,56.3,21.49,0.396,NaN,4.2,0.25,66.66,
lagrange-2,6/13/2024,8.11,2.54,8.04,582.9,93.9,33.42,21.39,0.401,NaN,,,,
lagrange-3,6/20/2024,,,,,,,,,,2.3,0.23,133.33,
lagrange-15,6/20/2024,,,,,,,,,,2.1,0.14,66.66,
lagrange-2,7/3/2024,7.66,2.95,6.47,578.9,75.4,106.37,21.56,0.397,3.22,5.2,0.41,166.66,
lagrange-7,7/3/2024,7.91,4.11,5.15,597.5,58.8,199.5,20.53,0.418,23.58,13.7,0.71,133.33,
lagrange-13,7/3/2024,7.91,3.58,7.63,593.6,79.6,163.37,16.11,0.456,2.12,1.8,0.17,133.33,
lagrange-9,7/3/2024,7.5,1.52,8,641.3,87.9,80.85,18.58,0.467,6.08,NA SAMPLE BOTTLE LOST,0.43,1400,
lagrange-1,7/3/2024,8.28,0.63,7.76,445.7,93.6,36.3,23.36,0.295,5.09,5.37,0.19,66.66,
lagrange-5,7/3/2024,7.99,0.73,6.35,453.9,74.3,32.52,21.8,0.309,7.55,5.2,0.21,166.66,
lagrange-11,7/3/2024,8.16,4.36,10.34,600.2,112.9,60.41,18.31,0.44,3.59,1.3,0.16,133.33,
lagrange-8,7/3/2024,8.12,1.9,6.69,602.1,77.4,41.04,21.22,0.415,12.87,5,0.24,0,
lagrange-15,7/3/2024,8.09,1.2,6.05,532.3,71.6,54.62,22.4,0.359,2.15,4.3,0.15,33.33,
lagrange-3,7/3/2024,8.16,2.06,8.66,565.1,100.3,34.23,21.23,0.39,2.58,2.5,0.22,66.66,
lagrange-6,7/3/2024,8.21,0.52,12.68,442.2,160.8,19.09,26.09,0.277,5.38,3.5,0.19,0,
lagrange-10,7/3/2024,8.15,0.51,8.1,436.7,102.5,22.76,25.98,0.274,6.09,17.5,0.35,66.66,
lagrange-12,7/3/2024,8.18,3.88,9.77,696,110.5,89,20,0.492,3.01,7.2,0.36,33.33,
lagrange-11,7/31/2024,8.09,2.51,8.68,651.2,100.5,43.08,20.89,0.452,1.73,8.5,0.13,166.66,
lagrange-12,7/31/2024,7.93,7.84,7.64,1465321,95.5,61.5,24.96,938.6414,0.34,10.55,0.27,66.66,
lagrange-8,7/31/2024,7.95,1.61,6.47,644.4,83.3,44.3,26.53,0.401,8.61,0.8,0.68,1100,
lagrange-15,7/31/2024,7.79,0.81,4.62,541.4,59,59.4,26.11,0.339,1.97,5.4,0.71,0,
lagrange-3,7/31/2024,7.99,1,7.74,543.7,95.2,60.68,24.05,0.355,1.41,1.33,0.54,0,
lagrange-6,7/31/2024,8.2,0.51,13.56,455.6,182.4,18.41,29.01,0.27,3.39,1.89,0.19,0,
lagrange-10,7/31/2024,8.45,0.39,7.55,456,100.6,22.47,28.53,0.273,3.72,5.55,0.06,66.66,
lagrange-9,7/31/2024,8.12,1.98,8.33,0,98.5,88.6,22.2,0,NaN,14.11,0.2,533.33,
lagrange-7,7/31/2024,8.11,1.87,8.13,0,96.2,47.6,22.12,0,1.54,52.11,0.3,166.66,
lagrange-2,7/31/2024,7.91,2.4,5.08,587.5,61.6,39.34,23.45,0.388,NaN,0.4,0.87,0,
lagrange-1,7/31/2024,8.26,2.49,8.33,0,96.6,72.71,21.07,0,0.92,1.3,0.76,0,
lagrange-13,7/31/2024,8.09,3.21,8.23,0,97.9,88.39,22.3,0,262.24,8.44,0.13,166.66,
lagrange-8,8/14/2024,7.81,3.53,7.98,595.8,92.9,86.4,21.33,0.41,40,2.7,0.12,33.3,
